09/22/2025-18:30:42.471138  [**] [1:2101402:9] GPL EXPLOIT iissamples access [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 192.42.1.174:33180 -> 172.17.100.121:80
09/22/2025-18:30:42.472347  [**] [1:2101402:9] GPL EXPLOIT iissamples access [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 192.42.1.174:33180 -> 172.17.100.121:80
09/22/2025-18:30:42.561757  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33182 -> 172.17.100.121:80
09/22/2025-18:30:42.563379  [**] [1:2009361:8] ET WEB_SERVER cmd.exe In URI - Possible Command Execution Attempt [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33182 -> 172.17.100.121:80
09/22/2025-18:30:42.563379  [**] [1:2009362:7] ET WEB_SERVER /system32/ in Uri - Possible Protected Directory Access Attempt [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33182 -> 172.17.100.121:80
09/22/2025-18:30:42.567349  [**] [1:2009361:8] ET WEB_SERVER cmd.exe In URI - Possible Command Execution Attempt [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33182 -> 172.17.100.121:80
09/22/2025-18:30:42.567349  [**] [1:2009362:7] ET WEB_SERVER /system32/ in Uri - Possible Protected Directory Access Attempt [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33182 -> 172.17.100.121:80
09/22/2025-18:30:42.568343  [**] [1:2009361:8] ET WEB_SERVER cmd.exe In URI - Possible Command Execution Attempt [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33182 -> 172.17.100.121:80
09/22/2025-18:30:42.568343  [**] [1:2009362:7] ET WEB_SERVER /system32/ in Uri - Possible Protected Directory Access Attempt [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33182 -> 172.17.100.121:80
09/22/2025-18:30:42.569316  [**] [1:2101401:11] GPL EXPLOIT /msadc/samples/ access [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 192.42.1.174:33182 -> 172.17.100.121:80
09/22/2025-18:30:42.571405  [**] [1:2101242:14] GPL EXPLOIT ISAPI .ida access [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 192.42.1.174:33182 -> 172.17.100.121:80
